date,type,value,unit
2026-07-19,water,322.4,liters
2026-07-19,electricity,10.22,kwh
2026-07-20,water,389.7,liters
2026-07-20,electricity,9.74,kwh
2026-07-21,water,363.5,liters
2026-07-21,electricity,8.21,kwh
2026-07-22,water,349.7,liters
2026-07-22,electricity,10.76,kwh
2026-07-23,water,336.7,liters
2026-07-23,electricity,10.11,kwh
2026-07-24,water,337.3,liters
2026-07-24,electricity,10.49,kwh
2026-07-25,water,403.1,liters
2026-07-25,electricity,8.8,kwh
2026-07-26,water,339.0,liters
2026-07-26,electricity,8.49,kwh
2026-07-27,water,400.8,liters
2026-07-27,electricity,11.24,kwh
2026-07-28,water,396.5,liters
2026-07-28,electricity,10.92,kwh
2026-07-29,water,368.1,liters
2026-07-29,electricity,10.1,kwh
2026-07-30,water,399.2,liters
2026-07-30,electricity,11.25,kwh
2026-07-31,water,365.7,liters
2026-07-31,electricity,9.36,kwh
2026-08-01,water,357.5,liters
2026-08-01,electricity,11.24,kwh
2026-08-02,water,335.0,liters
2026-08-02,electricity,9.86,kwh
2026-08-03,water,412.3,liters
2026-08-03,electricity,11.03,kwh
2026-08-04,water,427.2,liters
2026-08-04,electricity,11.09,kwh
2026-08-05,water,324.6,liters
2026-08-05,electricity,10.51,kwh
2026-08-06,water,354.0,liters
2026-08-06,electricity,10.11,kwh
2026-08-07,water,388.6,liters
2026-08-07,electricity,10.24,kwh
2026-08-08,water,418.1,liters
2026-08-08,electricity,9.01,kwh
2026-08-09,water,338.2,liters
2026-08-09,electricity,10.84,kwh
2026-08-10,water,393.3,liters
2026-08-10,electricity,12.03,kwh
2026-08-11,water,381.3,liters
2026-08-11,electricity,9.11,kwh
2026-08-12,water,407.8,liters
2026-08-12,electricity,10.04,kwh
2026-08-13,water,549.0,liters
2026-08-13,electricity,11.84,kwh
2026-08-14,water,498.7,liters
2026-08-14,electricity,9.75,kwh
2026-08-15,water,505.0,liters
2026-08-15,electricity,9.67,kwh
2026-08-16,water,579.5,liters
2026-08-16,electricity,11.98,kwh
2026-08-17,water,489.2,liters
2026-08-17,electricity,10.95,kwh
